HYDRTS_ID,Longitude,Latitude
7726,-118.28914095556941,33.9881417540297
82228,-118.17835101051425,34.089722633961806
10859,-118.27587313583089,34.08152903636152
11722,-118.17870510060366,34.08792934586264
14647,-118.271827994663,33.94364193729251
4134,-118.29822335423124,33.98052392698122
50168,-118.37944331372317,34.126861795932214
3801,-118.265327747444,33.9563603947148
4938,-118.1617060462287,34.09181341725529
2783,-118.29486487882919,33.78844704369496
11405,-118.1764647576235,34.08575910217657
14946,-118.1698393226506,34.087112634826795
15513,-118.27328606712283,34.14205312130524
13012,-118.23474217770026,34.119058269232504
11765,-118.1618286146716,34.092205456574355
12416,-118.1586937223874,34.09751041953627
82392,-118.29081622720348,34.06161371914932
26639,-118.27520842608726,33.9631417264154
35197,-118.37331974801174,34.08378214762965
5555,-118.26737417708087,34.107079535148046
3327,-118.27795028435355,33.956348236951136
80957,-118.60786539683707,34.243971108349704
80958,-118.607545103293,34.244950041307064
82541,-118.42356386734154,34.138577369067036
82328,-118.51977803113407,34.248850469557524
13346,-118.1949168957473,34.12054591720224
4623,-118.23013084741855,34.01913947755081
1592,-118.31386673508217,33.735061497450566
1405,-118.31174349511538,33.72965653870388
192,-118.30885224768382,33.73479310091173
599,-118.27079621368657,33.754635595913285
40850,-118.36383427735669,34.10648769543977
36399,-118.35657952317003,34.10752235576181
31468,-118.35883475228468,34.10527516529911
40879,-118.34501118721995,34.10411751187493
41403,-118.3426402087514,34.10423933904104
36066,-118.34197022671283,34.10400648549325
67345,-118.57957956323877,34.24251807169623
71291,-118.58002780045183,34.243720693286974
65770,-118.4297355339225,34.17967902140732
52467,-118.42394978764145,34.17468999955226
52821,-118.422309800712,34.179248258417104
52667,-118.52553689943225,34.17564173286329
52665,-118.5264188820206,34.17807397255827
70244,-118.5284762410501,34.175514638432425
71481,-118.52976625369448,34.18003996736267
55956,-118.38531606113936,34.24523941590586
55960,-118.35876704275177,34.24320357876146
55962,-118.35742996319316,34.24546717768889
58277,-118.35639094346044,34.24458926826004
52832,-118.40928759856229,34.17832942306261
42038,-118.38577239750197,34.04869125127913
216,-118.30135101138305,33.73228487249488
218,-118.30576463287751,33.73232671380737
73408,-118.50699043181424,34.24500067263843
324,-118.29210057803674,33.74404564255184
2172,-118.29209168703593,33.74313507308189
2171,-118.29210782818168,33.742527277297704
307,-118.29028462374379,33.74317159576428
328,-118.29026573969654,33.745006781460525
331,-118.29465695209976,33.74550411980675
293,-118.29469472271475,33.74137365669201
2564,-118.29335384634773,33.741378169346085
28452,-118.29781243720593,33.74319944436014
1234,-118.28370255846428,33.74221295565368
1722,-118.27987745080334,33.7416793905407
406,-118.27988320812509,33.74224220699711
33379,-118.38129866929052,34.049912493965394
43234,-118.37757505746542,34.050051119043204
41204,-118.37746176689237,34.052489419475016
40410,-118.37747584060209,34.05377950543161
31296,-118.37875162995354,34.05281130701997
52670,-118.5243792194904,34.17818409364967
52682,-118.52228164043493,34.17841844396462
52672,-118.5167502782643,34.17654351044071
17455,-118.23010078656549,34.1067336895013
68167,-118.61227809372278,34.24858697354161
33719,-118.39010477951336,34.05544396446577
33717,-118.39194104942223,34.05541784890101
41281,-118.3909302782745,34.056144945332655
15514,-118.1894527581933,34.110093564800735
14148,-118.1930770295384,34.10962819209559
14137,-118.19336644126513,34.110451019244266
54483,-118.44423174509855,34.20560634471533
59814,-118.44298545183436,34.2065093401111
58613,-118.43544003021532,34.203785592588154
67673,-118.4420850256271,34.20723131932832
74458,-118.61643274856391,34.24023404821134
36481,-118.43179991564635,34.115096331953346
37347,-118.42696192030556,34.119001706249364
14700,-118.26035947660796,33.928396535510586
14619,-118.26654906853186,33.92999374681036
26334,-118.26669150555287,33.93122504424047
4041,-118.25837767763656,33.930622625827326
7442,-118.26228244174425,33.932745619693335
15341,-118.2649443057118,33.93184892094418
33756,-118.37390401174859,34.059162695473645
37741,-118.41034638183791,33.98867376279091
37744,-118.40698254619497,33.99145465417941
38233,-118.41409691628857,33.98941826523934
4840,-118.28494387931225,33.941424592568396
4854,-118.28072944313277,33.9435993167254
7526,-118.27790401246976,33.94114895110069
12829,-118.26676316508855,34.10994656443121
16708,-118.25857204533112,34.11382428216382
16711,-118.26249033003307,34.11345435217281
4873,-118.25861882482019,33.94245871566443
15170,-118.25969656359887,33.943455985286015
4875,-118.26099792166785,33.94316836214613
14952,-118.26625686999657,33.943646204342244
26227,-118.28713586622565,33.94693301548185
26099,-118.28837930983994,33.94694889974917
3994,-118.28046551294602,33.94660179509004
